"champion","winrate","nb_game","kd_rate","nb_kill_mobs","gold","ligue","role"
"Renekton",44.36,35531,1.73,172.41,11338,"Bronze","Top"
"Qiyana",44.23,36861,1.9,147.59,11450,"Bronze","Mid"
"Aatrox",44.09,24146,1.69,155.54,10826,"Bronze","Top"
"Rengar",43.64,24255,1.84,149.33,12119,"Bronze","Jungle"
"Gragas",43.48,18099,2.01,129.68,9934,"Bronze","Top"
"Rek'Sai",43.36,11493,1.93,135.49,11286,"Bronze","Jungle"
"Olaf",43.31,15196,1.83,151.46,11279,"Bronze","Jungle"
"Twisted Fate",43.17,16575,1.76,135.56,10809,"Bronze","Mid"
"Lee Sin",43.02,72835,2.15,138.3,11133,"Bronze","Jungle"
"Nidalee",42.6,14890,2.06,119.67,10575,"Bronze","Jungle"
"Ryze",42.11,22578,1.86,181.94,11190,"Bronze","Mid"
"Azir",41.76,7655,1.69,159.26,10768,"Bronze","Mid"
"Garen",54.66,234488,2.26,196.52,12963,"Silver","Top"
"Dr. Mundo",53.82,97183,2.42,184.69,11909,"Silver","Top"
"Urgot",53.47,109516,1.97,201.44,12977,"Silver","Top"
"Sona",53.3,67427,2.95,18.89,8458,"Silver","Support"
"Yorick",52.94,81342,1.61,199.75,12422,"Silver","Top"
"Soraka",52.92,107400,2.75,21.8,7886,"Silver","Support"
"Kayle",52.88,92733,1.97,212.82,12796,"Silver","Top"
"Zyra",52.87,118674,2.1,61.43,10016,"Silver","Support"
"Trundle",52.84,137860,2.34,166.51,12163,"Silver","Jungle"
"Veigar",52.72,243070,2.36,174.9,12280,"Silver","Mid"
"Rammus",52.63,53570,2.77,135.26,10899,"Silver","Jungle"
"Maître Yi",52.51,190758,1.99,169.85,13006,"Silver","Jungle"
"Blitzcrank",52.47,135456,2.51,35.19,8233,"Silver","Support"
"Vi",52.47,133209,2.36,157.64,11952,"Silver","Jungle"
"Ziggs",52.47,55061,2.4,182.56,12088,"Silver","Mid"
"Fizz",52.42,94786,2.44,152.93,12251,"Silver","Mid"
"Nasus",52.31,126888,2.07,180.94,12078,"Silver","Top"
"Zac",52.21,85361,3.43,140.96,11046,"Silver","Jungle"
"Vayne",52.08,266359,2.07,181.25,12583,"Silver","Bot"
"Mordekaiser",52.04,127621,1.96,176.35,12165,"Silver","Top"
"Shyvana",52.03,56804,2.42,190.94,12488,"Silver","Jungle"
"Malzahar",52.02,100453,2.17,197.05,12277,"Silver","Mid"
"Sivir",52,68162,2.53,206.16,12668,"Silver","Bot"
"Brand",51.96,163022,1.87,79.22,10657,"Silver","Support"
"Warwick",51.89,133198,2.26,146.03,11892,"Silver","Jungle"
"Ahri",51.79,214563,2.48,165.2,11648,"Silver","Mid"
"Amumu",51.79,104385,2.58,145.7,11045,"Silver","Jungle"
"Miss Fortune",51.77,235951,2.36,184.09,12748,"Silver","Bot"
"Sejuani",51.7,57006,3.03,152.15,11280,"Silver","Jungle"
"Cassiopeia",51.66,80570,2.02,186.68,12225,"Silver","Mid"
"Xerath",51.65,173687,2.72,106.2,11280,"Silver","Mid"
"Tristana",51.6,186296,2.33,187.1,12947,"Silver","Bot"
"Janna",51.59,110895,3.02,17.43,7941,"Silver","Support"
"Singed",51.59,37752,1.96,178.23,11496,"Silver","Top"
"Vel'Koz",51.55,99156,2.37,115.9,10896,"Silver","Mid"
"Nunu et Willump",51.53,76183,2.84,141.82,10951,"Silver","Jungle"
"Skarner",51.53,12797,2.69,148.25,10847,"Silver","Jungle"
"Shaco",51.5,162961,2.62,136.9,12020,"Silver","Jungle"
"Lux",51.46,444861,2.66,89.21,10437,"Silver","Mid"
"Jhin",51.44,388835,2.88,184.16,12688,"Silver","Bot"
"Nami",51.44,137357,3.13,13.8,8378,"Silver","Support"
"Anivia",51.41,61700,2.49,172.44,11912,"Silver","Mid"
"Diana",51.39,269793,2.26,181.68,12615,"Silver","Jungle"
"Kog'Maw",51.32,28287,2.19,185.21,12831,"Silver","Bot"
"Ornn",51.23,60087,2.3,164.73,10754,"Silver","Top"
"Volibear",51.22,126546,2.23,159.5,11668,"Silver","Jungle"
"Teemo",51.2,150017,1.73,179.49,12351,"Silver","Top"
"Viktor",51.17,126615,2.29,187.54,12331,"Silver","Mid"
"Swain",51.02,71655,2.28,62.91,10214,"Silver","Support"
"Sion",50.99,93998,1.53,196.52,12218,"Silver","Top"
"Heimerdinger",50.98,32042,1.81,164.17,11533,"Silver","Mid"
"Quinn",50.92,39150,1.89,173.28,12535,"Silver","Top"
"Senna",50.91,247922,2.61,61.22,10788,"Silver","Support"
"Zilean",50.87,66859,2.97,66.15,9086,"Silver","Support"
"Annie",50.85,50935,2.29,148.01,11374,"Silver","Mid"
"Morgana",50.8,191194,2.5,54.95,9600,"Silver","Support"
"Shen",50.76,101745,2.89,134.9,10253,"Silver","Top"
"Ekko",50.75,148799,2.44,166.12,12223,"Silver","Mid"
"Akshan",50.75,109204,2.08,177.15,12944,"Silver","Mid"
"Neeko",50.75,46044,2.21,132.15,10961,"Silver","Mid"
"Cho'Gath",50.61,72865,2.19,171.67,11725,"Silver","Top"
"Malphite",50.6,111041,2.48,137.15,10664,"Silver","Top"
"Maokai",50.6,23317,2.25,62.04,8980,"Silver","Support"
"Illaoi",50.55,47640,1.49,202.89,12470,"Silver","Top"
"Zeri",50.53,241022,2.31,193.45,12752,"Silver","Bot"
"Lillia",50.52,63452,2.4,179.54,12233,"Silver","Jungle"
"Sett",50.49,139625,1.8,163.93,11833,"Silver","Top"
"Kled",50.49,23969,2.29,159.76,12028,"Silver","Top"
"Hecarim",50.45,127195,2.83,165.91,12098,"Silver","Jungle"
"Yasuo",50.44,281132,1.7,200.51,12805,"Silver","Mid"
"Twitch",50.42,138957,2.35,160.33,12744,"Silver","Bot"
"Kha'Zix",50.41,130332,2.38,158.78,12488,"Silver","Jungle"
"Tahm Kench",50.3,67145,2.52,125.42,10445,"Silver","Top"
"Fiddlesticks",50.19,53404,2.53,158.09,11574,"Silver","Jungle"
"Taric",50.19,19806,2.65,46.54,8207,"Silver","Support"
"Yone",50.17,216563,1.79,192.72,12686,"Silver","Mid"
"Jinx",50.1,388145,2.35,194.08,12421,"Silver","Bot"
"Nautilus",50.1,138871,2.38,40.27,8238,"Silver","Support"
"Leona",50.06,155650,2.41,36.34,8154,"Silver","Support"
"Irelia",50.02,146890,1.75,214.19,13322,"Silver","Top"
"Braum",50,41666,2.8,35.23,8074,"Silver","Support"
"Séraphine",49.97,74039,2.53,68.77,9578,"Silver","Support"
"Xin Zhao",49.96,115614,2.24,156.67,11714,"Silver","Jungle"
"Ashe",49.88,112557,2.34,164.52,11667,"Silver","Bot"
"Kassadin",49.85,53530,2.34,166.43,12042,"Silver","Mid"
"Fiora",49.73,88674,1.76,181.24,12197,"Silver","Top"
