,saison,rank,champion,tot_win,tot_lose,avg_kills,avg_deaths,avg_assists,gold,nb_kill_mobs,max_kills,max_deaths,avg_dmg_dealt,avg_dmg_taken,dk,tk,qk,quintu
201,Saison 7,11,Draven,11V,11 D,6.0,5.7,5.9,"12,754",198.3(0.0),12,13,"145,556","19,618",,,,
202,Saison 7,12,Cassiopeia,8V,11 D,6.2,5.5,6.9,"12,181",203.2(0.0),10,9,"123,470","20,519",,,,
203,Saison 7,13,Skarner,10V,7 D,5.9,4.3,6.8,"11,207",131.4(0.0),15,9,"131,805","25,426",,,,
204,Saison 7,14,Orianna,8V,9 D,5.2,4.8,8.0,"12,547",224.1(0.0),12,11,"154,540","16,477",,,,
205,Saison 7,15,Varus,7V,10 D,3.7,4.6,5.1,"10,202",184.2(0.0),11,10,"107,380","13,631",,,,
206,Saison 7,16,Janna,10V,6 D,0.6,2.6,11.,"7,967",13.8(0.0),2,8,"12,393","10,362",,,,
207,Saison 7,17,Veigar,9V,5 D,10.,/5.,/5.,"14,439",233.1(0.0),16,10,"186,777","19,110",,,,
208,Saison 7,18,Twitch,5V,4 D,8.8,7.6,8.9,"13,139",182.9(0.0),21,13,"133,850","23,735",,,,
209,Saison 7,19,Kassadin,3V,5 D,6.8,5.1,5.0,"11,683",200.0(0.0),19,8,"111,061","21,964",,,,
210,Saison 7,20,Kog'Maw,3V,3 D,7.8,6.0,8.0,"12,697",204.8(0.0),12,8,"130,719","20,304",,,,
211,Saison 7,21,Lissandra,3V,3 D,3.8,4.3,3.2,"9,180",168.2(0.0),5,7,"102,678","14,865",,,,
212,Saison 7,22,Corki,3V,3 D,6.5,5.5,5.3,"11,304",174.7(0.0),12,9,"118,440","15,991",,,,
213,Saison 7,23,Akali,3V,3 D,8.7,7.0,5.3,"11,998",166.3(0.0),15,11,"119,743","29,029",,,,
214,Saison 7,24,Urgot,1V,4 D,8.8,6.4,6.0,"12,597",194.0(0.0),12,9,"139,764","27,364",,,,
215,Saison 7,25,Gangplank,0,5 D,5.2,6.2,6.4,"12,923",228.8(0.0),9,11,"205,799","29,200",,,,
216,Saison 7,26,Jax,1V,3 D,2.3,4.0,3.0,"8,731",171.0(0.0),6,6,"91,609","14,609",,,,
217,Saison 7,27,Brand,1V,3 D,4.8,6.0,5.3,"9,319",29.3(0.0),8,9,"42,292","13,942",,,,
218,Saison 7,28,Syndra,2V,1 D,9.7,6.3,9.3,"15,140",230.3(0.0),15,8,"187,876","23,947",,,,
219,Saison 7,29,Soraka,2V,1 D,2.0,6.0,17.,"10,127",21.7(0.0),3,6,"22,271","14,738",,,,
220,Saison 7,30,Kalista,1V,2 D,8.7,13.,/8.,"11,527",147.3(0.0),10,18,"91,934","26,814",,,,
221,Saison 7,31,Jinx,1V,2 D,4.3,6.7,5.0,"9,164",145.3(0.0),7,8,"82,204","15,093",,,,
222,Saison 7,32,Nasus,1V,2 D,3.7,6.3,3.3,"11,272",203.7(0.0),9,8,"139,481","30,983",,,,
